store,Sum of longitude,Sum of latitude
"McDonalds PlayPlace-Oakley,CA",-121.75217,38.00525
"McDonalds PlayPlace-Oceanside,CA",-821.16096,232.416463
"McDonalds PlayPlace-Ontario,CA",-352.8945,102.18018
"McDonalds PlayPlace-Orange,CA",-235.6448,67.61662
"McDonalds PlayPlace-Oxnard,CA",-119.177332,34.17136
"McDonalds PlayPlace-Pacoima,CA",-236.84553,68.5326
"McDonalds PlayPlace-Palm Desert,CA",-116.3955,33.72148
"McDonalds PlayPlace-Palm Springs,CA",-116.527884,33.844678
"McDonalds PlayPlace-Palmdale,CA",-118.12875,34.58019
"McDonalds PlayPlace-Palo Alto,CA",-122.17025,37.44281
"McDonalds PlayPlace-Panorama City,CA",-236.89848,68.43998
"McDonalds PlayPlace-Pasadena,CA",-118.13264,34.15949
"McDonalds PlayPlace-Paso Robles,CA",-120.681738,35.614715
"McDonalds PlayPlace-Patterson,CA",-121.14109,37.46446
"McDonalds PlayPlace-Perris,CA",-234.45049,67.64816
"McDonalds PlayPlace-Phelan,CA",-117.57424,34.42618
"McDonalds PlayPlace-Pico Rivera,CA",-236.18499,67.97191
"McDonalds PlayPlace-Pinole,CA",-122.30396,37.99571
"McDonalds PlayPlace-Placentia,CA",-117.87801,33.87355
"McDonalds PlayPlace-Placerville,CA",-120.78784,38.73091
"McDonalds PlayPlace-Pleasant Hill,CA",-122.06702,37.97486
"McDonalds PlayPlace-Pleasanton,CA",-121.85806,37.67022
"McDonalds PlayPlace-Pomona,CA",-235.50582,68.12148
"McDonalds PlayPlace-Port Hueneme,CA",-119.208877,34.176136
"McDonalds PlayPlace-Porterville,CA",-119.04816,36.08025
"McDonalds PlayPlace-Poway,CA",-117.05994,32.95237
"McDonalds PlayPlace-Ramona,CA",-116.8772,33.03706
"McDonalds PlayPlace-Rancho Cordova,CA",-121.26946,38.61515
"McDonalds PlayPlace-Rancho Cucamonga,CA",-235.16997,68.24391
"McDonalds PlayPlace-Rancho San Diego,CA",-116.932894,32.744066
"McDonalds PlayPlace-Rancho Santa Margarita,CA",-117.596,33.64339
"McDonalds PlayPlace-Red Bluff,CA",-122.221136,40.182292
"McDonalds PlayPlace-Redlands,CA",-351.524098,102.18809
"McDonalds PlayPlace-Redondo Beach,CA",-118.35284,33.87076
"McDonalds PlayPlace-Redwood City,CA",-122.22392,37.47931
"McDonalds PlayPlace-Reedley,CA",-119.457861,36.603622
"McDonalds PlayPlace-Reseda,CA",-118.54198,34.20133
